Unnamed: 0,Bucket Range,Records,Records (%),High Risk Ratio,Low Risk Ratio,WoE,col_name
1,"(-inf, 0.50)","1,781,105",8.02,22.91,77.09,-1.3006435209639389,ACTV_30_DYS_avg
2,"[0.50, 1.00)","904,401",4.07,19.14,80.86,-1.0734696541841595,ACTV_30_DYS_avg
3,"[1.00, inf)","19,287,915",86.87,4.61,95.39,0.5148297817279093,ACTV_30_DYS_avg
4,Missing,"228,985",1.03,83.56,16.44,-4.140236066600819,ACTV_30_DYS_avg
Totals, ,"22,202,406",100.0,7.49,92.51, ,ACTV_30_DYS_avg
1,"(-inf, 50.00)","1,793,496",8.08,23.09,76.91,-1.3110730762914575,ACTV_30_DYS_norm
2,"[50.00, inf)","20,179,925",90.89,5.24,94.76,0.3814914702923166,ACTV_30_DYS_norm
3,Missing,"228,985",1.03,83.56,16.44,-4.140236066600819,ACTV_30_DYS_norm
Totals, ,"22,202,406",100.0,7.49,92.51, ,ACTV_30_DYS_norm
1,"(-inf, 1.00)","2,194,865",9.89,12.12,87.88,-0.5330559717058005,ACTV_60_DYS_avg
2,"[1.00, inf)","19,778,556",89.08,6.09,93.91,0.2211435678226565,ACTV_60_DYS_avg
3,Missing,"228,985",1.03,83.56,16.44,-4.140236066600819,ACTV_60_DYS_avg
Totals, ,"22,202,406",100.0,7.49,92.51, ,ACTV_60_DYS_avg
1,"(-inf, 100.00)","2,320,039",10.45,13.95,86.05,-0.6948824208859912,ACTV_60_DYS_norm
2,"[100.00, inf)","19,653,382",88.52,5.84,94.16,0.2665497933198777,ACTV_60_DYS_norm
3,Missing,"228,985",1.03,83.56,16.44,-4.140236066600819,ACTV_60_DYS_norm
Totals, ,"22,202,406",100.0,7.49,92.51, ,ACTV_60_DYS_norm
1,"(-inf, 0.13)","1,244,839",5.61,0.64,99.36,2.536508273208581,ACTV_90_DYS_avg
2,"[0.13, 0.54)","429,627",1.94,4.87,95.13,0.4589221223702937,ACTV_90_DYS_avg
3,"[0.54, 0.71)","139,996",0.63,6.7,93.3,0.1199138117241318,ACTV_90_DYS_avg
4,"[0.71, inf)","20,158,959",90.8,7.11,92.89,0.0561557153976353,ACTV_90_DYS_avg
5,Missing,"228,985",1.03,83.56,16.44,-4.140236066600819,ACTV_90_DYS_avg
Totals, ,"22,202,406",100.0,7.49,92.51, ,ACTV_90_DYS_avg
1,"(-inf, 25.00)","1,245,831",5.61,0.66,99.34,2.4944032240910143,ACTV_90_DYS_norm
2,"[25.00, inf)","20,727,590",93.36,7.06,92.94,0.0638381865751358,ACTV_90_DYS_norm
3,Missing,"228,985",1.03,83.56,16.44,-4.140236066600819,ACTV_90_DYS_norm
Totals, ,"22,202,406",100.0,7.49,92.51, ,ACTV_90_DYS_norm
1,['Verified' 'None' 'Unknown' 'CONSUMER'],"22,202,406",100.0,7.49,92.51,0.0,ADR_CRDT_VERI_STS_mode
2,Missing,0,0.0,0.0,0.0,0.0,ADR_CRDT_VERI_STS_mode
Totals, ,"22,202,406",100.0,7.49,92.51, ,ADR_CRDT_VERI_STS_mode
1,"(-inf, 123.86)","3,887,502",17.51,10.18,89.82,-0.3368040911146006,ARPU_12_avg
2,"[123.86, 124.98)","43,768",0.2,9.6,90.4,-0.2712891144259846,ARPU_12_avg
3,"[124.98, 149.99)","1,148,475",5.17,8.41,91.59,-0.1264518706762474,ARPU_12_avg
4,"[149.99, 200.00)","2,523,080",11.36,7.21,92.79,0.0408109175132405,ARPU_12_avg
5,"[200.00, 324.97)","5,452,783",24.56,6.91,93.09,0.0858596287863102,ARPU_12_avg
6,"[324.97, inf)","9,146,125",41.19,6.63,93.37,0.1303004427999057,ARPU_12_avg
7,Missing,673,0.0,30.31,69.69,-1.681742525313659,ARPU_12_avg
Totals, ,"22,202,406",100.0,7.49,92.51, ,ARPU_12_avg
1,"(-inf, 124.98)","3,539,878",15.94,9.97,90.03,-0.3136162406160592,ARPU_12_sum
2,"[124.98, 149.99)","936,613",4.22,8.78,91.22,-0.1738191124294967,ARPU_12_sum
3,"[149.99, 199.99)","2,027,295",9.13,7.4,92.6,0.012129202086426,ARPU_12_sum
4,"[199.99, inf)","15,697,947",70.7,6.86,93.14,0.094285820727832,ARPU_12_sum
5,Missing,673,0.0,30.31,69.69,-1.681742525313659,ARPU_12_sum
Totals, ,"22,202,406",100.0,7.49,92.51, ,ARPU_12_sum
1,"(-inf, 1299.89)","21,868,330",98.5,7.4,92.6,0.0124873626924153,ARPU_1_avg
2,"[1299.89, 1749.83)","204,050",0.92,7.58,92.42,-0.0140252339582236,ARPU_1_avg
